job_id,model,train_bins,val_bin,jac_mean,jac_std,jac0,jac1,jac2,jac3,jac4,jac5,jac6,jac7,jac8,jac9,jac10,jac11,jac12,jac13,jac14,jac15,d_model,batch_size,input_size,patch_size
15825809,dinov3-vitb16-pretrain-lvd1689m,0_30_60_90,0,0.83,0.12,0.981,0.882,0.892,0.859,0.671,0.866,0.843,0.804,0.53,0.603,0.819,0.908,0.846,0.916,0.914,0.937,768,4,512,16
15825809,dinov3-vitb16-pretrain-lvd1689m,0_30_60_90,15,0.809,0.145,0.98,0.889,0.883,0.84,0.639,0.852,0.821,0.784,0.535,0.436,0.788,0.906,0.846,0.918,0.902,0.93,768,4,512,16
15825809,dinov3-vitb16-pretrain-lvd1689m,0_30_60_90,30,0.816,0.158,0.982,0.899,0.901,0.859,0.704,0.854,0.835,0.791,0.589,0.318,0.803,0.904,0.854,0.922,0.905,0.934,768,4,512,16
15825809,dinov3-vitb16-pretrain-lvd1689m,0_30_60_90,45,0.808,0.156,0.981,0.901,0.876,0.865,0.583,0.844,0.826,0.798,0.565,0.386,0.795,0.929,0.812,0.922,0.905,0.935,768,4,512,16
15825809,dinov3-vitb16-pretrain-lvd1689m,0_30_60_90,60,0.831,0.136,0.983,0.901,0.904,0.878,0.69,0.858,0.842,0.817,0.52,0.506,0.817,0.926,0.884,0.921,0.911,0.937,768,4,512,16
15825809,dinov3-vitb16-pretrain-lvd1689m,0_30_60_90,75,0.792,0.175,0.981,0.894,0.889,0.837,0.595,0.849,0.829,0.791,0.347,0.426,0.783,0.827,0.865,0.909,0.915,0.932,768,4,512,16
15825809,dinov3-vitb16-pretrain-lvd1689m,0_30_60_90,90,0.823,0.131,0.983,0.891,0.903,0.846,0.636,0.852,0.833,0.794,0.654,0.454,0.811,0.91,0.845,0.914,0.916,0.933,768,4,512,16
15825809,dinov3-vitb16-pretrain-lvd1689m,0_45_90,0,0.829,0.127,0.982,0.893,0.897,0.872,0.7,0.869,0.847,0.805,0.522,0.543,0.825,0.881,0.871,0.917,0.91,0.938,768,4,512,16
15825809,dinov3-vitb16-pretrain-lvd1689m,0_45_90,15,0.809,0.129,0.979,0.882,0.866,0.825,0.609,0.85,0.825,0.78,0.531,0.551,0.769,0.885,0.843,0.918,0.896,0.93,768,4,512,16
15825809,dinov3-vitb16-pretrain-lvd1689m,0_45_90,30,0.787,0.193,0.98,0.892,0.876,0.822,0.587,0.845,0.826,0.779,0.588,0.164,0.746,0.88,0.853,0.922,0.898,0.931,768,4,512,16
15825809,dinov3-vitb16-pretrain-lvd1689m,0_45_90,45,0.847,0.106,0.983,0.911,0.892,0.88,0.667,0.855,0.843,0.807,0.586,0.709,0.804,0.917,0.921,0.927,0.911,0.941,768,4,512,16
15825809,dinov3-vitb16-pretrain-lvd1689m,0_45_90,60,0.817,0.13,0.982,0.886,0.873,0.847,0.602,0.854,0.835,0.808,0.493,0.635,0.753,0.916,0.823,0.918,0.905,0.938,768,4,512,16
15825809,dinov3-vitb16-pretrain-lvd1689m,0_45_90,75,0.794,0.158,0.981,0.891,0.88,0.84,0.613,0.848,0.828,0.786,0.335,0.575,0.754,0.806,0.817,0.908,0.911,0.933,768,4,512,16
15825809,dinov3-vitb16-pretrain-lvd1689m,0_45_90,90,0.84,0.11,0.983,0.906,0.906,0.867,0.692,0.856,0.832,0.799,0.649,0.57,0.805,0.909,0.898,0.913,0.915,0.933,768,4,512,16
15825809,dinov3-vitb16-pretrain-lvd1689m,0_90,0,0.849,0.109,0.983,0.909,0.907,0.897,0.725,0.873,0.85,0.806,0.571,0.638,0.836,0.925,0.889,0.916,0.917,0.94,768,4,512,16
15825809,dinov3-vitb16-pretrain-lvd1689m,0_90,15,0.81,0.134,0.98,0.888,0.87,0.822,0.611,0.852,0.826,0.778,0.532,0.526,0.78,0.922,0.823,0.922,0.897,0.931,768,4,512,16
15825809,dinov3-vitb16-pretrain-lvd1689m,0_90,30,0.778,0.192,0.979,0.886,0.86,0.8,0.57,0.842,0.821,0.779,0.457,0.233,0.726,0.899,0.851,0.926,0.891,0.93,768,4,512,16
